2023-01-28 21:14:33, Download: 93,749688 Mbits/s, Upload: 93,466648 Mbits/s, Jitter: 0,2 ms, Lost: 0 %, Latencia: 1,311 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 21:32:08, Download: 93,685464 Mbits/s, Upload: 93,438536 Mbits/s, Jitter: 0,038 ms, Lost: 0 %, Latencia: 1,062 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 21:49:43, Download: 93,510112 Mbits/s, Upload: 93,469840 Mbits/s, Jitter: 0,127 ms, Lost: 0 %, Latencia: 1,15 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 22:07:22, Download: 93,717328 Mbits/s, Upload: 93,460600 Mbits/s, Jitter: 0,1 ms, Lost: 0 %, Latencia: 1,163 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 22:25:37, Download: 93,798864 Mbits/s, Upload: 93,508928 Mbits/s, Jitter: 0,333 ms, Lost: 0 %, Latencia: 1,27 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 22:43:11, Download: 93,617848 Mbits/s, Upload: 93,427608 Mbits/s, Jitter: 0,2 ms, Lost: 0 %, Latencia: 1,316 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 23:00:48, Download: 93,467936 Mbits/s, Upload: 93,501144 Mbits/s, Jitter: 0,112 ms, Lost: 0 %, Latencia: 1,198 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 23:18:26, Download: 93,673240 Mbits/s, Upload: 93,476936 Mbits/s, Jitter: 0,154 ms, Lost: 0 %, Latencia: 0,978 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 23:36:48, Download: 93,531648 Mbits/s, Upload: 93,477904 Mbits/s, Jitter: 0,138 ms, Lost: 0 %, Latencia: 1,069 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 23:54:22, Download: 93,382056 Mbits/s, Upload: 93,462080 Mbits/s, Jitter: 0,233 ms, Lost: 0 %, Latencia: 1,21 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 00:11:57, Download: 93,715816 Mbits/s, Upload: 93,469888 Mbits/s, Jitter: 0,062 ms, Lost: 0 %, Latencia: 1,099 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 00:29:33, Download: 93,540528 Mbits/s, Upload: 93,473104 Mbits/s, Jitter: 0,054 ms, Lost: 0 %, Latencia: 1,013 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 00:47:08, Download: 93,715648 Mbits/s, Upload: 93,477248 Mbits/s, Jitter: 0,076 ms, Lost: 0 %, Latencia: 1,003 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 01:04:44, Download: 93,494712 Mbits/s, Upload: 93,465280 Mbits/s, Jitter: 0,194 ms, Lost: 0 %, Latencia: 1,088 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 01:22:18, Download: 93,461112 Mbits/s, Upload: 93,496992 Mbits/s, Jitter: 0,186 ms, Lost: 0 %, Latencia: 1,083 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 01:39:56, Download: 93,461976 Mbits/s, Upload: 93,477848 Mbits/s, Jitter: 0,081 ms, Lost: 0 %, Latencia: 1,015 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 01:57:27, Download: 93,491952 Mbits/s, Upload: 93,434384 Mbits/s, Jitter: 0,049 ms, Lost: 0 %, Latencia: 1,106 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
